name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Ginger Ale - SIN AZÚCAR,{},bebidas,ai_estimated,7801610310489,ginger ale - sin azúcar,,,,,,,,,Schweppes,Ginger Ale - SIN AZÚCAR
Guaraná zero 200ml,{},bebidas,ai_estimated,0895994056566,guaraná zero 200ml,,,,,,,,,Guaraná Antartica,Guaraná zero 200ml
The Maçã Edition Sugarfree,{},bebidas,ai_estimated,9002490290450,the maçã edition sugarfree,,,,,,,,,"Red Bull, RedBull",The Maçã Edition Sugarfree Energy Drink
Adoçante dietético líquido,{},doces,ai_estimated,7896094910959,adoçante dietético líquido,,,,,,,,,Zero Cal,
Adoçante Líquido Zero Cal 100ML Ciclamato Unit,{},doces,ai_estimated,7896094910904,adoçante líquido zero cal 100ml ciclamato unit,,,,,,,,,,Adoçante Líquido Zero Cal 100ML Ciclamato Unit
Adoçante MAGRO,{},doces,ai_estimated,7896292001442,adoçante magro,,,,,,,,,,Adoçante MAGRO
Adoçante dietético líquido com sucralose,{},doces,ai_estimated,7896094914070,adoçante dietético líquido com sucralose,,,,,,,,,Adocyl,Adoçante dietético líquido com sucralose
SóStevia Stevia 100% Adoçante Dietético Líquido,{},doces,ai_estimated,7896292000971,sóstevia stevia 100% adoçante dietético líquido,,,,,,,,,"Lowçucar,Lightsweet",
Adoçante,{},doces,ai_estimated,7891104393067,adoçante,,,,,,,,,adoçante,
Adoçante Líquido Sucralose Linea Caixa 75ml,{},doces,ai_estimated,7896001250628,adoçante líquido sucralose linea caixa 75ml,,,,,,,,,LINEA,
Adoçante Líquido Eritritol Zero Cal Caixa 65ml,{},doces,ai_estimated,7896094919136,adoçante líquido eritritol zero cal caixa 65ml,,,,,,,,,ZERO CAL,
Adoçante Em Pó Culinário Eritritol Linea,{},doces,ai_estimated,7896001200012,adoçante em pó culinário eritritol linea,,,,,,,,,LINEA,
Adoçante edulcorante,{},doces,ai_estimated,71543857,adoçante edulcorante,,,,,,,,,sacarina,
MAGRO Adoçante 100% Stevia,{},doces,ai_estimated,7896292011007,magro adoçante 100% stevia,,,,,,,,,Magro,
CEPÊRA Aroma Artificial de Baunilha,{},doces,ai_estimated,7896025801073,cepêra aroma artificial de baunilha,,,,,,,,,CEPÊRA,
Mais Vita Sal Moído Iodado,{},molhos_temperos,ai_estimated,7891095600847,mais vita sal moído iodado,,,,,,,,,"Yoki,Yoki Alimentos,Norsal,Norte Salineira",
Sale iodato di Sicilia,{},molhos_temperos,ai_estimated,8006614091177,sale iodato di sicilia,,,,,,,,,Collítali,Sale Bianco di Sicilia
Sal fina,{},molhos_temperos,ai_estimated,7790072001014,sal fina,,,,,,,,,"Celusal,Timbo",
Sal moído iodado,{},molhos_temperos,ai_estimated,7896110194363,sal moído iodado,,,,,,,,,Almirante,
